ID,Farm_ID,Animal,Exam_date,Cull_date,Oldest_lesion,Sample_date,Taxon
DQ404179,1,P,24/02/2001,25/02/2001,10,22/02/2001,gi|89213462|gb|DQ404179.1|Northumberland|22_02_01$gi|89213460|gb|DQ404178.1|Northumberland|22_02_01$gi|89213458|gb|DQ404177.1|Northumberland|22_02_01
DQ404176,2,C,25/02/2001,25/02/2001,7,23/02/2001,gi|89213456|gb|DQ404176.1|Northumberland|23_02_01
DQ404175,3,C,24/02/2001,27/02/2001,4,24/02/2001,gi|89213454|gb|DQ404175.1|Devon|24_02_01
DQ404173,4,C,26/02/2001,28/02/2001,3,26/03/2001,gi|89213450|gb|DQ404173.1|Northamptonshire|26_02_01
DQ404172,5,C,01/03/2001,03/03/2001,2,01/03/2001,gi|89213448|gb|DQ404172.1|Staffordshire|01_03_01
EF552688,A,S,31/03/2001,02/04/2001,2,31/03/2001,gi|156255826|gb|EF552688.1|Durham|31_03_01
EF552689,B,S,02/04/2001,03/04/2001,2,02/04/2001,gi|156255828|gb|EF552689.1|Durham|02_04_01
EF552690,C,C,20/04/2001,20/04/2001,3,20/04/2001,gi|156255830|gb|EF552690.1|Durham|20_04_01
EF552691,D,C,11/05/2001,11/05/2001,1,11/05/2001,gi|156255832|gb|EF552691.1|Durham|11_05_01
EF552692,E,S,22/04/2001,24/04/2001,7,22/04/2001,gi|156255834|gb|EF552692.1|Durham|22_04_01
DQ404170,F,S,23/04/2001,24/04/2001,4,23/04/2001,gi|89213442|gb|DQ404170.1|Durham|23_04_01
DQ404167,G,S,14/05/2001,14/05/2001,4,14/05/2001,gi|89213438|gb|DQ404167.1|Durham|14_05_01
DQ404166,I,C,28/05/2001,28/05/2001,3,28/05/2001,gi|89213436|gb|DQ404166.1|Durham|28_05_01
DQ404165,J,C,03/06/2001,04/06/2001,2,03/06/2001,gi|89213434|gb|DQ404165.1|Durham|03_06_01
EF552693,K,C,01/04/2001,04/04/2001,1,01/04/2001,gi|156255836|gb|EF552693.1|Durham|01_04_01
EF552694,L,C,10/04/2001,10/04/2001,2,10/04/2001,gi|156255838|gb|EF552694.1|Durham|10_04_01
EF552695,M,S,17/05/2001,18/05/2001,5,17/05/2001,gi|156255840|gb|EF552695.1|Durham|17_05_01
EF552696,N,C,12/04/2001,14/04/2001,1,12/04/2001,gi|156255842|gb|EF552696.1|Durham|12_04_01
EF552697,O,S,15/04/2001,15/04/2001,2,15/04/2001,gi|156255844|gb|EF552697.1|Durham|15_04_01
EU214601,P,S,30/04/2001,01/05/2001,4,30/04/2001,gi|161334746|gb|EU214601.1|Durham|30_04_01
